Scan_params_set,Peak_x_set,Peak_y_set,Centroid_x_set,Centroid_y_set,A_set,Sx_set,Sy_set,X0_set,Y0_set,Wavelength_set,Atom_number_set,Folder_path,Files_used
0.00503,665.0,922.0,648.0,916.0,1.9607322166139338,15.509287773522727,22.983696992480223,922.0962813305825,662.1495060128861,7.8024602089e-07,12205476.984717268,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.00703,660.0,920.0,640.0,913.0,1.62180113413572,19.122758191497756,26.003212135123743,920.863623361425,658.4082157013822,7.8024602089e-07,14064891.977915235,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.009030000000000002,649.0,924.0,664.0,916.0,1.0511646031993582,21.572952683427044,28.047123726731826,920.120844099479,650.8988402013723,7.8024602089e-07,11221502.304061068,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.01103,650.0,922.0,633.0,913.0,0.9245989786900178,26.126065227804784,32.740427208090345,919.9646617421181,644.6823284014711,7.8024602089e-07,13880328.343002846,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.013030000000000002,642.0,917.0,634.0,914.0,0.6579058559691967,28.862764544194683,35.48972393401608,919.4827784961578,635.1736369711635,7.8024602089e-07,11880238.918132054,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.01503,626.0,917.0,622.0,914.0,0.514454011278089,31.884389641582068,38.283747226679985,918.9837058738362,624.4058111471037,7.8024602089e-07,11083015.143867508,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.01703,618.0,911.0,610.0,910.0,0.4561892686526723,37.806312829589004,44.78472401989131,918.2166438776967,611.2350339885885,7.8024602089e-07,13526085.261585217,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.01903,600.0,920.0,610.0,913.0,0.37867239509711303,38.849575344293235,45.493963162920274,917.6836494820677,599.0901717078746,7.8024602089e-07,11835678.077717837,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.02103,585.0,911.0,629.0,915.0,0.22003651833159843,31.09535006100675,36.00738671729881,917.3207775259673,584.9477485372644,7.8024602089e-07,4421668.331925262,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.00103,673.0,922.0,596.0,900.0,0.03460561181668487,146.03637732784986,250.22124122360032,904.0646316785185,599.8531502608008,7.8024602089e-07,21636553.3631105,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.00303,666.0,922.0,593.0,905.0,2.4282028549616683,13.883210985070093,22.636297532326893,922.3041539143951,664.9839907179932,7.8024602089e-07,13118852.623882212,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.00503,664.0,922.0,647.0,916.0,2.0107919687935194,15.757474399859914,23.893919301199237,922.5795579666678,661.9263245261999,7.8024602089e-07,13180577.27185911,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.00703,659.0,918.0,633.0,911.0,1.4107161157056547,19.677754228852102,27.45030108026223,920.3944330070331,656.7713065012348,7.8024602089e-07,13260996.772364369,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.009030000000000002,652.0,922.0,647.0,914.0,1.079282616228317,22.64406688451535,29.401230822956936,920.4725990730201,650.7461768145671,7.8024602089e-07,12580131.65557421,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.01103,647.0,921.0,636.0,912.0,0.8655806734336879,26.05248107432042,32.698263135124805,919.5415541238813,644.5817132910644,7.8024602089e-07,12953309.780983957,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
